# color images
# file: 'rgbd_dataset_freiburg1_xyz_secret.bag'
# timestamp filename
1305033299.836330 rgb/1305033299.836330.png
1305033299.868273 rgb/1305033299.868273.png
1305033299.900289 rgb/1305033299.900289.png
1305033299.936263 rgb/1305033299.936263.png
1305033299.968261 rgb/1305033299.968261.png
1305033300.000237 rgb/1305033300.000237.png
1305033300.036242 rgb/1305033300.036242.png
1305033300.068343 rgb/1305033300.068343.png
1305033300.100239 rgb/1305033300.100239.png
1305033300.136195 rgb/1305033300.136195.png
1305033300.168271 rgb/1305033300.168271.png
1305033300.200316 rgb/1305033300.200316.png
1305033300.236252 rgb/1305033300.236252.png
1305033300.268264 rgb/1305033300.268264.png
1305033300.300253 rgb/1305033300.300253.png
1305033300.336263 rgb/1305033300.336263.png
1305033300.368220 rgb/1305033300.368220.png
1305033300.400264 rgb/1305033300.400264.png
1305033300.436225 rgb/1305033300.436225.png
1305033300.468272 rgb/1305033300.468272.png
1305033300.500311 rgb/1305033300.500311.png
1305033300.536273 rgb/1305033300.536273.png
1305033300.568314 rgb/1305033300.568314.png
1305033300.600323 rgb/1305033300.600323.png
1305033300.636262 rgb/1305033300.636262.png
1305033300.668351 rgb/1305033300.668351.png
1305033300.700263 rgb/1305033300.700263.png
1305033300.736317 rgb/1305033300.736317.png
1305033300.768237 rgb/1305033300.768237.png
1305033300.800227 rgb/1305033300.800227.png
1305033300.836238 rgb/1305033300.836238.png
1305033300.868270 rgb/1305033300.868270.png
1305033300.904232 rgb/1305033300.904232.png
1305033300.936197 rgb/1305033300.936197.png
1305033300.968265 rgb/1305033300.968265.png
1305033301.004240 rgb/1305033301.004240.png
1305033301.036408 rgb/1305033301.036408.png
1305033301.068271 rgb/1305033301.068271.png
1305033301.104144 rgb/1305033301.104144.png
1305033301.136299 rgb/1305033301.136299.png
1305033301.168278 rgb/1305033301.168278.png
1305033301.204226 rgb/1305033301.204226.png
1305033301.236270 rgb/1305033301.236270.png
1305033301.268286 rgb/1305033301.268286.png
1305033301.304239 rgb/1305033301.304239.png
1305033301.336259 rgb/1305033301.336259.png
1305033301.368217 rgb/1305033301.368217.png
